PLAYER NAME,PRE R1 STROKES,PRE R2 STROKES,DIFFERENCE
"Snedeker, Brandt",69.38,69.38,0.0
"Springer, Hayden",69.19,69.19,0.0
"Suber, Jackson",69.77,69.77,0.0
"Svensson, Adam",68.803,69.063,0.26
"Svensson, Jesper",68.584,68.584,0.0
"Taylor, Nick",68.16,68.151,-0.009
"Theegala, Sahith",68.6,68.6,0.0
"Thomson, Hunter",70.33,70.33,0.0
"Thorbjornsen, Michael",68.52,68.52,0.0
"Thornberry, Braden",69.94,69.94,0.0
"Tosti, Alejandro",69.171,69.171,0.0
"Van Rooyen, Erik",68.415,68.415,0.0
"Velo, Kevin",69.79,69.79,0.0
"Ventura, Kris",69.09,69.09,0.0
"Vilips, Karl",68.94,68.94,0.0
"Villegas, Camilo",70.15,70.15,0.0
"Walker, Danny",68.897,68.897,0.0
"Wallace, Matt",68.194,68.194,0.0
"Wang, Wei-Hsuan",71.22,71.22,0.0
"Waring, Paul",70.09,70.09,0.0
"Webster, Brett",72.9,72.9,0.0
"Weir, Mike",71.6,71.6,0.0
"Whaley, Vince",68.417,68.417,0.0
"Widing, Tim",69.63,69.63,0.0
"Willett, Danny",69.57,69.57,0.0
"Wise, Aaron",70.29,70.29,0.0
"Woodland, Gary",68.585,68.44,-0.145
"Yellamaraju, Sudarshan",69.81,69.81,0.0
"Young, Cameron",68.099,68.099,0.0
"Young, Carson",68.88,68.88,0.0
"Yu, Kevin",68.298,68.298,0.0
