PLAYER NAME,PRE R1 STROKES,PRE R2 STROKES,DIFFERENCE
"Forsstrom, Simon",71.627,71.627,0.0
"Frances, Alexander George",72.63,72.63,0.0
"Frittelli, Dylan",71.44,71.458,0.018
"Gale, Daniel",72.228,72.228,0.0
"Garcia-Heredia, Alfredo",72.283,72.283,0.0
"Germishuys, Deon",72.037,72.037,0.0
"Girrbach, Joel",71.895,71.895,0.0
"Gouveia, Ricardo",71.489,71.353,-0.136
"Green, Gavin",71.581,71.581,0.0
"Guerrier, Julien",70.765,70.797,0.032
"Gumberg, Jordan",71.722,71.722,0.0
"Halvorsen, Andreas",71.471,71.471,0.0
"Harding, Justin",72.544,72.544,0.0
"Hebert, Benjamin",71.68,71.68,0.0
"Hidalgo, Angel",71.537,71.595,0.058
"Hill, Calum",71.249,71.243,-0.006
"Hillier, Daniel",70.807,70.807,0.0
"Huizing, Daan",72.283,72.283,0.0
"Jamieson, Scott",71.104,71.104,0.0
"Jarvis, Casey",71.202,71.202,0.0
"Jin, Zihao",72.241,72.241,0.0
"Johnston, Ryggs",71.916,71.916,0.0
"Katsuragawa, Yuto",71.147,71.118,-0.029
"Kieffer, Maximilian",71.245,71.282,0.037
"Kim, Minkyu",71.824,71.824,0.0
"Kimsey, Nathan",71.125,71.044,-0.081
"Kinhult, Marcus",71.131,71.131,0.0
"Kleen, Algot",72.029,72.029,0.0
"Knappe, Alexander",72.9,72.9,0.0
"Ko, Jeong Weon",72.19,72.19,0.0
"Kobori, Kazuma",71.084,71.329,0.245
"Kouwenaar, Koen",75.022,75.022,0.0
"Lafeber, Guus",74.777,74.777,0.0
"Lagergren, Joakim",71.848,71.848,0.0
"Laporta, Francesco",70.358,70.338,-0.02
"Larrazabal, Pablo",71.408,71.408,0.0
"Lawrence, Thriston",71.088,71.088,0.0
"Lemke, Niklas",71.239,71.239,0.0
"Li, Haotong",70.227,70.227,0.0
"Lindberg, Mikael",72.147,72.147,0.0
"Lindell, Oliver",70.965,70.861,-0.104
"List, Danny",72.63,72.63,0.0
"Lombard, Zander",72.514,72.514,0.0
"Luiten, Joost",70.059,69.951,-0.108
"Mansell, Richard",70.755,70.676,-0.079
"Merritt, Troy",71.217,71.217,0.0
"Micheluzzi, David",71.679,71.679,0.0
"Migliozzi, Guido",70.93,71.007,0.077
"Molinari, Francesco",71.376,71.376,0.0
"Moscatel, Joel",72.092,72.092,0.0
"Naidoo, Dylan",72.253,72.253,0.0
"Nakajima, Keita",70.166,70.166,0.0
"Neergaard-Petersen, Rasmus",69.738,69.85,0.112
"Nienaber, Wilco",71.473,71.473,0.0
"Olesen, Jacob Skov",71.02,70.895,-0.125
"Otaegui, Adrian",70.999,71.08,0.081
"Parry, John",70.772,70.805,0.033
"Paul, Yannik",71.247,71.281,0.034
"Pavan, Andrea",70.647,70.711,0.064
"Pineau, Pierre",72.653,72.653,0.0
"Porsius, Davey",74.118,74.118,0.0
"Pulkkanen, Tapio",71.889,71.889,0.0
"Purcell, Conor",71.445,71.445,0.0
"Ramsay, Richie",71.447,71.265,-0.182
"Ravetto, David",71.357,71.216,-0.141
"Reitan, Kristoffer",70.433,70.435,0.002
"Reuter, Benjamin",73.533,73.533,0.0
"Robinson-Thompson, Brandon",71.053,71.209,0.156
"Ruiter, Nevill",74.312,74.312,0.0
"Schaper, Jayden",70.414,70.434,0.02
"Schmidt, Ben",71.348,71.348,0.0
"Schneider, Marcel",70.596,70.596,0.0
"Schott, Freddy",71.639,71.639,0.0
"Schwab, Matthias",72.911,72.911,0.0
"Scrivener, Jason",71.074,70.978,-0.096
"Senior, Jack",71.757,71.757,0.0
"Sharma, Shubhankar",71.669,71.669,0.0
"Shaun, Corey",72.376,72.376,0.0
"Shinkwin, Callum",71.299,71.299,0.0
"Siem, Marcel",71.143,71.143,0.0
"Soderberg, Sebastian",70.793,70.836,0.043
"Sordet, Clement",71.877,71.877,0.0
"Southgate, Matthew",71.253,71.253,0.0
"Sterne, Richard",72.35,72.35,0.0
"Stone, Brandon",70.408,70.436,0.028
"Strydom, Ockie",73.068,73.068,0.0
"Sullivan, Andy",70.834,70.803,-0.031
"Syme, Connor",71.51,71.452,-0.058
"Tarren, Callum",71.542,71.542,0.0
"Tetak, TadeÃ¡Å¡",72.43,72.43,0.0
"Trainer, Martin",73.788,73.788,0.0
"Vaillant, Tom",71.143,71.143,0.0
"Van Der Vight, Lars",72.525,72.525,0.0
"Van Driel, Darius",71.253,71.253,0.0
"Van Meijel, Lars",71.995,71.995,0.0
"Van Veen, Vince",72.736,72.736,0.0
"Van Velzen, Ryan",72.083,72.083,0.0
"Veerman, Johannes",70.836,70.836,0.0
"Verdonk, Aydan",74.925,74.925,0.0
"Von Dellingshausen, Nicolai",71.089,71.089,0.0
"Walker, Jimmy",72.674,72.674,0.0
"Whitnell, Dale",72.27,72.27,0.0
"Wiesberger, Bernd",71.119,71.055,-0.064
"Williams, Robin",71.427,71.427,0.0
"Wilson, Andrew",71.616,71.616,0.0
"Winther, Jeff",71.122,71.304,0.182
"Woltering, Scott",74.147,74.147,0.0
"Wood, Chris",72.72,72.72,0.0
"Wu, Brandon",71.408,71.512,0.104
"Zanotti, Fabrizio",70.918,70.899,-0.019
