Rank,Club / Country,Club,Country,ELO
115,TorinoItaly,Torino,Italy,1619
116,RCD EspanyolSpain,RCD Espanyol,Spain,1619
117,NacionalUruguay,Nacional,Uruguay,1616
118,Real SociedadSpain,Real Sociedad,Spain,1616
119,Club Atlético PlatenseArgentina,Club Atlético Platense,Argentina,1616
120,Sparta PragueCzech Republic,Sparta Prague,Czech Republic,1615
121,Al-AhliSaudi Arabia,Al-Ahli,Saudi Arabia,1614
122,KRC GenkBelgium,KRC Genk,Belgium,1614
123,Atlético MineiroBrazil,Atlético Mineiro,Brazil,1614
124,LevanteSpain,Levante,Spain,1612
125,PanathinaikosGreece,Panathinaikos,Greece,1610
126,MonterreyMexico,Monterrey,Mexico,1606
127,MallorcaSpain,Mallorca,Spain,1605
128,AEKGreece,AEK,Greece,1604
129,Bodø / GlimtNorway,Bodø / Glimt,Norway,1604
130,FerencvárosHungary,Ferencváros,Hungary,1603
131,FC SheriffMoldova,FC Sheriff,Moldova,1602
132,Partizan BeogradSerbia,Partizan Beograd,Serbia,1601
133,Pafos FCCyprus,Pafos FC,Cyprus,1600
134,FC UtrechtNetherlands,FC Utrecht,Netherlands,1599
135,BolívarBolivia,Bolívar,Bolivia,1598
136,Borussia MönchengladbachGermany,Borussia Mönchengladbach,Germany,1598
137,KøbenhavnDenmark,København,Denmark,1597
138,FC TwenteNetherlands,FC Twente,Netherlands,1596
139,PFC CSKA SofiaBulgaria,PFC CSKA Sofia,Bulgaria,1596
140,Steaua BucureştiRomania,Steaua Bucureşti,Romania,1596
141,Argentinos JuniorsArgentina,Argentinos Juniors,Argentina,1594
142,AugsburgGermany,Augsburg,Germany,1594
143,RennesFrance,Rennes,France,1593
144,Red Bull SalzburgAustria,Red Bull Salzburg,Austria,1591
145,CF PachucaMexico,CF Pachuca,Mexico,1590
146,GrêmioBrazil,Grêmio,Brazil,1590
147,LeganesSpain,Leganes,Spain,1590
148,Dinamo MinskBelarus,Dinamo Minsk,Belarus,1588
149,BahiaBrazil,Bahia,Brazil,1586
150,SevillaSpain,Sevilla,Spain,1585
151,Vitória GuimarãesPortugal,Vitória Guimarães,Portugal,1584
152,Universitario de DeportesPeru,Universitario de Deportes,Peru,1583
153,Tigres UANLMexico,Tigres UANL,Mexico,1583
154,AEK LarnacaCyprus,AEK Larnaca,Cyprus,1583
155,1. FC Union BerlinGermany,1. FC Union Berlin,Germany,1582
156,Hapoel Be'er ShevaIsrael,Hapoel Be'er Sheva,Israel,1582
157,Fortaleza Esporte ClubeBrazil,Fortaleza Esporte Clube,Brazil,1581
158,ToulouseFrance,Toulouse,France,1580
159,HoffenheimGermany,Hoffenheim,Germany,1579
160,Levski SofiaBulgaria,Levski Sofia,Bulgaria,1579
161,MillonariosColombia,Millonarios,Colombia,1578
162,PersepolisIran,Persepolis,Iran,1577
163,Aris LimassolCyprus,Aris Limassol,Cyprus,1577
164,FAR RabatMorocco,FAR Rabat,Morocco,1576
165,GetafeSpain,Getafe,Spain,1576
166,Auckland CityNew Zealand,Auckland City,New Zealand,1576
167,RSC AnderlechtBelgium,RSC Anderlecht,Belgium,1576
168,Colo ColoChile,Colo Colo,Chile,1575
169,QarabağAzerbaijan,Qarabağ,Azerbaijan,1574
170,Estudiantes de la PlataArgentina,Estudiantes de la Plata,Argentina,1574
171,Zorya LuhanskUkraine,Zorya Luhansk,Ukraine,1574
172,Sturm GrazAustria,Sturm Graz,Austria,1573
173,Litex LovechBulgaria,Litex Lovech,Bulgaria,1573
174,Kawasaki FrontaleJapan,Kawasaki Frontale,Japan,1572
175,CSKA MoskvaRussia,CSKA Moskva,Russia,1572
176,OlimpiaHonduras,Olimpia,Honduras,1572
177,Atlético NacionalColombia,Atlético Nacional,Colombia,1569
178,Al-SaddQatar,Al-Sadd,Qatar,1568
179,Al IttihadSaudi Arabia,Al Ittihad,Saudi Arabia,1568
180,Dinamo MoskvaRussia,Dinamo Moskva,Russia,1567
181,Dacia ChisinauMoldova,Dacia Chisinau,Moldova,1567
182,LanúsArgentina,Lanús,Argentina,1564
183,FC MidtjyllandDenmark,FC Midtjylland,Denmark,1563
184,América de CaliColombia,América de Cali,Colombia,1563
185,GironaSpain,Girona,Spain,1563
186,CFR ClujRomania,CFR Cluj,Romania,1560
187,SepahanIran,Sepahan,Iran,1559
188,Independiente RivadaviaArgentina,Independiente Rivadavia,Argentina,1557
189,Omonia NicosiaCyprus,Omonia Nicosia,Cyprus,1556
190,SC Dnipro-1Ukraine,SC Dnipro-1,Ukraine,1554
191,Universidad CatólicaEcuador,Universidad Católica,Ecuador,1554
192,PortuguesaBrazil,Portuguesa,Brazil,1554
193,San Lorenzo de AlmagroArgentina,San Lorenzo de Almagro,Argentina,1554
194,Independiente MedellínColombia,Independiente Medellín,Colombia,1553
195,SD HuescaSpain,SD Huesca,Spain,1553
196,AuxerreFrance,Auxerre,France,1553
197,The StrongestBolivia,The Strongest,Bolivia,1552
198,Slovan BratislavaSlovakia,Slovan Bratislava,Slovakia,1552
199,Deportivo RiestraArgentina,Deportivo Riestra,Argentina,1551
200,Atlético PRBrazil,Atlético PR,Brazil,1551
201,Baník OstravaCzech Republic,Baník Ostrava,Czech Republic,1551
202,Shamrock RoversIreland,Shamrock Rovers,Ireland,1550
203,Atletico Petro LuandaAngola,Atletico Petro Luanda,Angola,1550
204,Maccabi Haifa FCIsrael,Maccabi Haifa FC,Israel,1549
205,CagliariItaly,Cagliari,Italy,1548
206,BeşiktaşTurkey,Beşiktaş,Turkey,1548
207,TP MazembeCongo DR,TP MazembeCongo DR,#N/A,1548
208,APOEL NicosiaCyprus,APOEL Nicosia,Cyprus,1547
209,Ceará SCBrazil,Ceará SC,Brazil,1547
210,UdineseItaly,Udinese,Italy,1546
211,Lokomotiv MoskvaRussia,Lokomotiv Moskva,Russia,1544
212,KuPSFinland,KuPS,Finland,1544
213,TigreArgentina,Tigre,Argentina,1542
214,Mirassol Futebol ClubeBrazil,Mirassol Futebol Clube,Brazil,1542
215,FC KrasnodarRussia,FC Krasnodar,Russia,1541
216,VitóriaBrazil,Vitória,Brazil,1541
217,Fortuna DüsseldorfGermany,Fortuna Düsseldorf,Germany,1541
218,Vélez SarsfieldArgentina,Vélez Sarsfield,Argentina,1540
219,Malmö FFSweden,Malmö FF,Sweden,1539
220,Olimpija LjubljanaSlovenia,Olimpija Ljubljana,Slovenia,1539
221,Hamburger SVGermany,Hamburger SV,Germany,1539
222,Nomme Kalju FC (EST)Estonia,Nomme Kalju FC (EST),Estonia,1539
223,Parma Calcio 1913Italy,Parma Calcio 1913,Italy,1539
224,Vasco da GamaBrazil,Vasco da Gama,Brazil,1538
225,MariborSlovenia,Maribor,Slovenia,1538
226,El ZamalekEgypt,El Zamalek,Egypt,1538
227,Cherno More VarnaBulgaria,Cherno More Varna,Bulgaria,1538
228,RCA Raja Casablanca AthleticMorocco,RCA Raja Casablanca Athletic,Morocco,1537
229,Hammarby IFSweden,Hammarby IF,Sweden,1537
230,Barcelona SCEcuador,Barcelona SC,Ecuador,1536
231,Dnipro DnipropetrovskUkraine,Dnipro Dnipropetrovsk,Ukraine,1536
232,Hajduk SplitCroatia,Hajduk Split,Croatia,1535
233,Al-Duhail SCQatar,Al-Duhail SC,Qatar,1535
234,Tractor SaziIran,Tractor Sazi,Iran,1535
235,Cerro PorteñoParaguay,Cerro Porteño,Paraguay,1534
236,TolimaColombia,Tolima,Colombia,1534
237,Shanghai ShenhuaChina PR,Shanghai ShenhuaChina PR,#N/A,1533
238,IngolstadtGermany,Ingolstadt,Germany,1532
239,Lokomotiv AstanaKazakhstan,Lokomotiv Astana,Kazakhstan,1531
240,Shanghai Port F.C.China PR,Shanghai Port F.C.China PR,#N/A,1531
241,Spartak MoskvaRussia,Spartak Moskva,Russia,1530
242,PFC SochiRussia,PFC Sochi,Russia,1530
243,FC BaselSwitzerland,FC Basel,Switzerland,1529
244,Hellas VeronaItaly,Hellas Verona,Italy,1529
245,GuadalajaraMexico,Guadalajara,Mexico,1529
246,Wydad CasablancaMorocco,Wydad Casablanca,Morocco,1529
247,Young BoysSwitzerland,Young Boys,Switzerland,1528
248,RijekaCroatia,Rijeka,Croatia,1528
249,CarpiItaly,Carpi,Italy,1528
250,Cádiz CFSpain,Cádiz CF,Spain,1527
251,1. FC KölnGermany,1. FC Köln,Germany,1527
252,Kashima AntlersJapan,Kashima Antlers,Japan,1526
253,LecceItaly,Lecce,Italy,1526
254,Stoke CityEngland,Stoke City,England,1526
255,FBC MelgarPeru,FBC Melgar,Peru,1525
256,Buriram UnitedThailand,Buriram United,Thailand,1524
257,Vissel KobeJapan,Vissel Kobe,Japan,1524
258,CR BelouizdadAlgeria,CR Belouizdad,Algeria,1524
259,Universidad de ChileChile,Universidad de Chile,Chile,1524
260,Sporting CristalPeru,Sporting Cristal,Peru,1523
261,1. FC HeidenheimGermany,1. FC Heidenheim,Germany,1522
262,Al AhliUnited Arab Emirates,Al Ahli,United Arab Emirates,1522
263,RS BerkaneMorocco,RS Berkane,Morocco,1522
264,ElcheSpain,Elche,Spain,1522
265,US MonastirTunisia,US Monastir,Tunisia,1521
266,TrabzonsporTurkey,Trabzonspor,Turkey,1521
267,Orlando PiratesSouth Africa,Orlando Pirates,South Africa,1520
268,FC FamalicãoPortugal,FC Famalicão,Portugal,1519
269,Deportivo SaprissaCosta Rica,Deportivo Saprissa,Costa Rica,1518
270,Junior FCColombia,Junior FC,Colombia,1518
271,Lech PoznańPoland,Lech Poznań,Poland,1517
272,ElfsborgSweden,Elfsborg,Sweden,1517
273,MC AlgerAlgeria,MC Alger,Algeria,1517
274,EibarSpain,Eibar,Spain,1517
275,Molde FKNorway,Molde FK,Norway,1516
276,AucasEcuador,Aucas,Ecuador,1516
277,Aris Thessaloniki FCGreece,Aris Thessaloniki FC,Greece,1516
278,Swansea CityEngland,Swansea City,England,1515
279,OleksandriyaUkraine,Oleksandriya,Ukraine,1515
280,Wigan AthleticEngland,Wigan Athletic,England,1515
281,NEC NijmegenNetherlands,NEC Nijmegen,Netherlands,1514
282,Schalke 04Germany,Schalke 04,Germany,1514
283,NK CeljeSlovenia,NK Celje,Slovenia,1514
284,JablonecCzech Republic,Jablonec,Czech Republic,1513
285,Etoile du SahelTunisia,Etoile du Sahel,Tunisia,1513
286,Godoy Cruz Antonio TombaArgentina,Godoy Cruz Antonio Tomba,Argentina,1512
287,LiverpoolUruguay,Liverpool,Uruguay,1512
288,Ulsan HyundaiSouth Korea,Ulsan Hyundai,South Korea,1512
289,KS Raków CzęstochowaPoland,KS Raków Częstochowa,Poland,1511
290,Kairat AlmatyKazakhstan,Kairat Almaty,Kazakhstan,1510
291,Royal Antwerp FCBelgium,Royal Antwerp FC,Belgium,1510
292,Santa FeColombia,Santa Fe,Colombia,1509
293,Viking FKNorway,Viking FK,Norway,1509
294,DSC Arminia BielefeldGermany,DSC Arminia Bielefeld,Germany,1508
295,Newell's Old BoysArgentina,Newell's Old Boys,Argentina,1508
296,Stade Malien BamakoMali,Stade Malien Bamako,Mali,1508
297,Jeonbuk FCSouth Korea,Jeonbuk FC,South Korea,1507
298,Vita ClubCongo DR,Vita ClubCongo DR,#N/A,1506
299,Alianza LimaPeru,Alianza Lima,Peru,1506
300,HJK HelsinkiFinland,HJK Helsinki,Finland,1506
301,Barracas CentralArgentina,Barracas Central,Argentina,1506
302,Al Hilal OmdurmanSudan,Al Hilal Omdurman,Sudan,1506
303,Sanfrecce HiroshimaJapan,Sanfrecce Hiroshima,Japan,1505
304,Sporting GijónSpain,Sporting Gijón,Spain,1504
305,St. PauliGermany,St. Pauli,Germany,1504
306,LD AlajuelenseCosta Rica,LD Alajuelense,Costa Rica,1504
307,Beijing GuoanChina PR,Beijing GuoanChina PR,#N/A,1504
308,CS Universitatea CraiovaRomania,CS Universitatea Craiova,Romania,1503
309,Chengdu Rongcheng F.C.China PR,Chengdu Rongcheng F.C.China PR,#N/A,1502
310,TimişoaraRomania,Timişoara,Romania,1502
311,Leeds UnitedEngland,Leeds United,England,1502
312,LeónMexico,León,Mexico,1501
313,Neath AthleticWales,Neath Athletic,Wales,1501
314,Dunajska StredaSlovakia,Dunajska Streda,Slovakia,1500
315,NantesFrance,Nantes,France,1500
316,Always ReadyBolivia,Always Ready,Bolivia,1499
317,Talleres de CordobaArgentina,Talleres de Cordoba,Argentina,1499
318,BurnleyEngland,Burnley,England,1499
319,Puskás FCHungary,Puskás FC,Hungary,1499
320,Empoli FCItaly,Empoli FC,Italy,1498
321,Birmingham CityEngland,Birmingham City,England,1498
322,Team WellingtonNew Zealand,Team Wellington,New Zealand,1498
323,LibertadParaguay,Libertad,Paraguay,1497
324,CA Central CordobaArgentina,CA Central Cordoba,Argentina,1497
325,Neman GrodnoBelarus,Neman Grodno,Belarus,1497
326,İstanbul BaşakşehirTurkey,İstanbul Başakşehir,Turkey,1497
327,1º de AgostoAngola,1º de Agosto,Angola,1496
328,Paide LinnameeskondEstonia,Paide Linnameeskond,Estonia,1496
329,FrosinoneItaly,Frosinone,Italy,1496
330,BrøndbyDenmark,Brøndby,Denmark,1495
331,EsteghlalIran,Esteghlal,Iran,1495
332,Defensa y JusticiaArgentina,Defensa y Justicia,Argentina,1495
333,CuiabaBrazil,Cuiaba,Brazil,1495
334,Las PalmasSpain,Las Palmas,Spain,1495
335,Bangkok UnitedThailand,Bangkok United,Thailand,1494
336,CataniaItaly,Catania,Italy,1494
337,Santos FCBrazil,Santos FC,Brazil,1494
338,Club Sport HeredianoCosta Rica,Club Sport Herediano,Costa Rica,1493
339,GoiásBrazil,Goiás,Brazil,1493
340,ServetteSwitzerland,Servette,Switzerland,1492
341,AIKSweden,AIK,Sweden,1492
342,Columbus CrewUnited States,Columbus Crew,United States,1492
343,Club Atlético BucaramangaColombia,Club Atlético Bucaramanga,Colombia,1492
344,Deportivo XerezSpain,Deportivo Xerez,Spain,1491
345,Hertha BSCGermany,Hertha BSC,Germany,1491
346,Sparta RotterdamNetherlands,Sparta Rotterdam,Netherlands,1490
347,Pumas UNAMMexico,Pumas UNAM,Mexico,1490
348,SochauxFrance,Sochaux,France,1490
349,Atlético TucumánArgentina,Atlético Tucumán,Argentina,1489
350,Monarcas MoreliaMexico,Monarcas Morelia,Mexico,1488
351,PalestinoChile,Palestino,Chile,1488
352,ASEC MimosasIvory Coast,ASEC Mimosas,Ivory Coast,1488
353,Holstein KielGermany,Holstein Kiel,Germany,1487
354,Legia WarszawaPoland,Legia Warszawa,Poland,1487
355,Go Ahead EaglesNetherlands,Go Ahead Eagles,Netherlands,1487
356,Apollon LimassolCyprus,Apollon Limassol,Cyprus,1486
357,ReimsFrance,Reims,France,1486
358,Riga FCLatvia,Riga FC,Latvia,1486
359,Deportivo La CoruñaSpain,Deportivo La Coruña,Spain,1486
360,VfL BochumGermany,VfL Bochum,Germany,1485
361,Zalgiris VilniusLithuania,Zalgiris Vilnius,Lithuania,1485
362,Patronato de ParanaArgentina,Patronato de Parana,Argentina,1484
363,BelgranoArgentina,Belgrano,Argentina,1483
364,Al-MerreikhSudan,Al-Merreikh,Sudan,1483
365,JS KabylieAlgeria,JS Kabylie,Algeria,1483
366,GentBelgium,Gent,Belgium,1482
367,Torpedo ZhodinoBelarus,Torpedo Zhodino,Belarus,1482
368,US CremoneseItaly,US Cremonese,Italy,1482
369,Yokohama F. MarinosJapan,Yokohama F. Marinos,Japan,1482
370,AlmeríaSpain,Almería,Spain,1482
371,LASK LinzAustria,LASK Linz,Austria,1481
372,Jiangsu Suning FCChina PR,Jiangsu Suning FCChina PR,#N/A,1481
373,OlimpiaParaguay,Olimpia,Paraguay,1480
374,Los Angeles FCUnited States,Los Angeles FC,United States,1480
375,BudućnostMontenegro,Budućnost,Montenegro,1480
376,NecaxaMexico,Necaxa,Mexico,1480
377,Venezia FCItaly,Venezia FC,Italy,1479
378,Al ShababSaudi Arabia,Al Shabab,Saudi Arabia,1479
379,CSD MunicipalGuatemala,CSD Municipal,Guatemala,1479
380,Once CaldasColombia,Once Caldas,Colombia,1478
381,DjurgårdenSweden,Djurgården,Sweden,1478
382,Mjällby AIFSweden,Mjällby AIF,Sweden,1478
383,West BromEngland,West Brom,England,1478
384,CD Santa ClaraPortugal,CD Santa Clara,Portugal,1477
385,SK BrannNorway,SK Brann,Norway,1477
386,Rosenborg BKNorway,Rosenborg BK,Norway,1476
387,FC Infonet TallinnEstonia,FC Infonet Tallinn,Estonia,1476
388,ASD Spezia Calcio 2008Italy,ASD Spezia Calcio 2008,Italy,1475
389,Shandong Taishan F.C.China PR,Shandong Taishan F.C.China PR,#N/A,1475
390,Bolton WanderersEngland,Bolton Wanderers,England,1475
391,LinfieldNorthern Ireland,Linfield,Northern Ireland,1475
392,CS Deportivo PereiraColombia,CS Deportivo Pereira,Colombia,1475
393,Urawa Red DiamondsJapan,Urawa Red Diamonds,Japan,1474
394,Coquimbo UnidoChile,Coquimbo Unido,Chile,1474
395,Instituto Atlético Central CórdobaArgentina,Instituto Atlético Central Córdoba,Argentina,1473
396,Nasaf QarshiUzbekistan,Nasaf Qarshi,Uzbekistan,1473
397,Leicester CityEngland,Leicester City,England,1473
398,St Patrick'sIreland,St Patrick's,Ireland,1473
399,Cardiff CityEngland,Cardiff City,England,1472
400,Sporting CharleroiBelgium,Sporting Charleroi,Belgium,1472
401,Rigas Futbola skolaLatvia,Rigas Futbola skola,Latvia,1472
402,Györi ETOHungary,Györi ETO,Hungary,1471
403,Rubin KazanRussia,Rubin Kazan,Russia,1471
404,Atlético GoianienseBrazil,Atlético Goianiense,Brazil,1471
405,Real ZaragozaSpain,Real Zaragoza,Spain,1470
406,Spartak TrnavaSlovakia,Spartak Trnava,Slovakia,1470
407,Hull CityEngland,Hull City,England,1470
408,SassuoloItaly,Sassuolo,Italy,1470
409,AroucaPortugal,Arouca,Portugal,1469
410,AL AhedLebanon,AL Ahed,Lebanon,1469
411,BlackpoolEngland,Blackpool,England,1469
412,NordsjællandDenmark,Nordsjælland,Denmark,1469
413,LorientFrance,Lorient,France,1468
414,SamsunsporTurkey,Samsunspor,Turkey,1468
415,Wolfsberger ACAustria,Wolfsberger AC,Austria,1468
416,FUS RabatMorocco,FUS Rabat,Morocco,1468
417,AnorthosisCyprus,Anorthosis,Cyprus,1467
418,EstorilPortugal,Estoril,Portugal,1467
419,Borac Banja LukaBosnia and Herzegovina,Borac Banja LukaBosnia and,Herzegovina,1467
420,MotaguaHonduras,Motagua,Honduras,1467
421,EC JuventudeBrazil,EC Juventude,Brazil,1466
422,Al-Ain FCUnited Arab Emirates,Al-Ain FC,United Arab Emirates,1466
423,Luton Town F.C.England,Luton Town F.C.,England,1466
424,Coton SportCameroon,Coton Sport,Cameroon,1465
425,TenerifeSpain,Tenerife,Spain,1465
426,SC BastiaFrance,SC Bastia,France,1464
427,FC Arda KardzhaliBulgaria,FC Arda Kardzhali,Bulgaria,1464
428,Connah's QuayWales,Connah's Quay,Wales,1464
429,Austria WienAustria,Austria Wien,Austria,1464
430,Pohang SteelersSouth Korea,Pohang Steelers,South Korea,1464
431,CS PetrocubMoldova,CS Petrocub,Moldova,1463
432,Sporting FingalIreland,Sporting Fingal,Ireland,1463
433,FK Akhmat GroznyRussia,FK Akhmat Grozny,Russia,1463
434,KoperSlovenia,Koper,Slovenia,1463
435,Le Havre ACFrance,Le Havre AC,France,1463
436,Sillamäe KalevEstonia,Sillamäe Kalev,Estonia,1462
437,Alianza FCEl Salvador,Alianza FC,El Salvador,1462
438,GuaraníParaguay,Guaraní,Paraguay,1462
439,Defensor SportingUruguay,Defensor Sporting,Uruguay,1462
440,Vancouver WhitecapsCanada,Vancouver Whitecaps,Canada,1462
441,Al-Wehdat SCJordan,Al-Wehdat SC,Jordan,1461
442,Atlético San LuisMexico,Atlético San Luis,Mexico,1461
443,Derry CityIreland,Derry City,Ireland,1461
444,MoreirensePortugal,Moreirense,Portugal,1460
445,Al WahdaUnited Arab Emirates,Al Wahda,United Arab Emirates,1460
446,CriciúmaBrazil,Criciúma,Brazil,1460
447,KF ShkendijaMacedonia,KF Shkendija,Macedonia,1460
448,Pogoń SzczecinPoland,Pogoń Szczecin,Poland,1460
449,Djoliba ACMali,Djoliba AC,Mali,1459
450,BrasiliaBrazil,Brasilia,Brazil,1459
451,Cusco FCPeru,Cusco FC,Peru,1459
452,IlvesFinland,Ilves,Finland,1459
453,Seattle Sounders FCUnited States,Seattle Sounders FC,United States,1459
454,Blackburn Rovers F.C.England,Blackburn Rovers F.C.,England,1459
455,CS SfaxienTunisia,CS Sfaxien,Tunisia,1458
456,Orense SCEcuador,Orense SC,Ecuador,1458
457,BATE BorisovBelarus,BATE Borisov,Belarus,1458
458,VojvodinaSerbia,Vojvodina,Serbia,1458
459,El NacionalEcuador,El Nacional,Ecuador,1458
460,Slovan LiberecCzech Republic,Slovan Liberec,Czech Republic,1457
461,Rapid WienAustria,Rapid Wien,Austria,1457
462,Colombe du Dja et LoboCameroon,Colombe du Dja et Lobo,Cameroon,1457
463,Paksi SEHungary,Paksi SE,Hungary,1457
464,Olympiakos VolosGreece,Olympiakos Volos,Greece,1457
465,PEC ZwolleNetherlands,PEC Zwolle,Netherlands,1457
466,CS ConstantineAlgeria,CS Constantine,Algeria,1457
467,KryvbasUkraine,Kryvbas,Ukraine,1456
468,NovaraItaly,Novara,Italy,1456
