,,,,,,,,,,,,,,,,,
Site,Date,Time,Market,Player,Team,Game,,Batting Order,,,,Over,Under,Implied Projection,The Bat X Projection,Implied BatX % Difference,Suggested Bet
ESPN BET,Jul 3,7:10 PM,Hits,Starling Marte,NYM,MIL@NYM,,6,,,,0.5 (-250),0.5 (+175),0.94,0.83,-11.85%,UNDER
Bet365,Jul 3,8:05 PM,Hits,Matt Shaw,CHC,CLE@CHC,,9,,,,0.5 (-167),0.5 (+135),0.81,0.72,-11.21%,UNDER
DraftKings,Jul 3,7:07 PM,Hits,DJ LeMahieu,NYY,NYY@TOR,,9,,,,0.5 (-185),0.5 (+135),0.81,0.72,-10.99%,UNDER
ESPN BET,Jul 3,7:07 PM,Hits,DJ LeMahieu,NYY,NYY@TOR,,9,,,,0.5 (-190),0.5 (+135),0.81,0.72,-10.99%,UNDER
Bet365,Jul 3,9:40 PM,Hits,Randal Grichuk,ARI,SF@ARI,,6,,,,0.5 (-200),0.5 (+160),0.9,0.8,-10.68%,UNDER
BetBuilder,Jul 3,7:10 PM,Hits,Starling Marte,NYM,MIL@NYM,,6,,,,0.5 (-227),0.5 (+170),0.92,0.83,-10.52%,UNDER
DraftKings,Jul 3,8:05 PM,Hits,Bo Naylor,CLE,CLE@CHC,,7,,,,0.5 (-155),0.5 (+115),0.74,0.67,-9.96%,UNDER
ESPN BET,Jul 3,10:10 PM,Hits,Ryan Noda,CWS,CWS@LAD,,9,,,,0.5 (-100),0.5 (-135),0.55,0.49,-9.81%,UNDER
Bovada,Jul 3,10:10 PM,Hits,Ryan Noda,CWS,CWS@LAD,,9,,,,0.5 (+105),0.5 (-135),0.55,0.49,-9.81%,UNDER
Bet365,Jul 3,10:10 PM,Hits,Ryan Noda,CWS,CWS@LAD,,9,,,,0.5 (+105),0.5 (-135),0.55,0.49,-9.81%,UNDER
DraftKings,Jul 3,10:10 PM,Hits,Ben Williamson,SEA,KC@SEA,,8,,,,0.5 (-175),0.5 (+130),0.8,0.72,-9.42%,UNDER
Bet365,Jul 3,3:10 PM,Hits,Cooper Hummel,HOU,HOU@COL,,8,,,,0.5 (-244),0.5 (+190),0.98,0.89,-9.42%,UNDER
DraftKings,Jul 3,3:10 PM,Hits,Cooper Hummel,HOU,HOU@COL,,8,,,,0.5 (-265),0.5 (+190),0.98,0.89,-9.42%,UNDER
BetMGM,Jul 3,8:05 PM,Hits,Matt Shaw,CHC,CLE@CHC,,9,,,,0.5 (-165),0.5 (+130),0.8,0.72,-9.27%,UNDER
Bovada,Jul 3,8:05 PM,Hits,Matt Shaw,CHC,CLE@CHC,,9,,,,0.5 (-170),0.5 (+130),0.8,0.72,-9.27%,UNDER
Hard Rock,Jul 3,8:05 PM,Hits,Matt Shaw,CHC,CLE@CHC,,9,,,,0.5 (-170),0.5 (+130),0.8,0.72,-9.27%,UNDER
Hard Rock,Jul 3,9:40 PM,Hits,Randal Grichuk,ARI,SF@ARI,,6,,,,0.5 (-210),0.5 (+155),0.88,0.8,-9.09%,UNDER
BetMGM,Jul 3,9:40 PM,Hits,Randal Grichuk,ARI,SF@ARI,,6,,,,0.5 (-210),0.5 (+155),0.88,0.8,-9.09%,UNDER
Bovada,Jul 3,9:40 PM,Hits,Randal Grichuk,ARI,SF@ARI,,6,,,,0.5 (-210),0.5 (+155),0.88,0.8,-9.09%,UNDER
Fanatics,Jul 3,7:10 PM,Hits,Starling Marte,NYM,MIL@NYM,,6,,,,0.5 (-220),0.5 (+165),0.91,0.83,-9.08%,UNDER
Fanatics,Jul 3,7:07 PM,Hits,DJ LeMahieu,NYY,NYY@TOR,,9,,,,0.5 (-170),0.5 (+130),0.8,0.72,-9.05%,UNDER
DraftKings,Jul 3,12:10 PM,Hits,Liam Hicks,MIA,MIN@MIA,,7,,,,0.5 (-180),0.5 (+135),0.81,0.74,-8.40%,UNDER
Bovada,Jul 3,3:10 PM,Hits,Cooper Hummel,HOU,HOU@COL,,8,,,,0.5 (-250),0.5 (+185),0.97,0.89,-8.23%,UNDER
BetBuilder,Jul 3,10:10 PM,Hits,Ryan Noda,CWS,CWS@LAD,,9,,,,0.5 (+106),0.5 (-137),0.54,0.49,-8.17%,UNDER
Bet365,Jul 3,7:07 PM,Hits,Anthony Volpe,NYY,NYY@TOR,,8,,,,0.5 (-182),0.5 (+145),0.85,0.78,-8.01%,UNDER
Bovada,Jul 3,12:10 PM,Hits,Byron Buxton,MIN,MIN@MIA,,1,,,,0.5 (-280),0.5 (+205),1.01,0.94,-7.80%,UNDER
Bet365,Jul 3,9:40 PM,Hits,Eugenio Suarez,ARI,SF@ARI,,4,,,,0.5 (-185),0.5 (+150),0.86,0.8,-7.54%,UNDER
DraftKings,Jul 3,8:05 PM,Hits,Dansby Swanson,CHC,CLE@CHC,,4,,,,0.5 (-225),0.5 (+165),0.91,0.84,-7.46%,UNDER
Fliff,Jul 3,6:45 PM,Hits,Dillon Dingler,DET,DET@WSH,,9,,,,0.5 (-260),0.5 (+175),0.94,0.87,-7.43%,UNDER
DraftKings,Jul 3,12:10 PM,Hits,Agustin Ramirez,MIA,MIN@MIA,,4,,,,0.5 (-250),0.5 (+180),0.95,0.88,-7.24%,UNDER
ESPN BET,Jul 3,8:05 PM,Hits,Matt Shaw,CHC,CLE@CHC,,9,,,,0.5 (-175),0.5 (+125),0.78,0.72,-7.21%,UNDER
Bet365,Jul 3,10:10 PM,Hits,Cal Raleigh,SEA,KC@SEA,,3,,,,0.5 (-200),0.5 (+160),0.9,0.83,-7.03%,UNDER
Fliff,Jul 3,7:07 PM,Hits,DJ LeMahieu,NYY,NYY@TOR,,9,,,,0.5 (-185),0.5 (+125),0.78,0.72,-6.98%,UNDER
BetMGM,Jul 3,3:10 PM,Hits,Cooper Hummel,HOU,HOU@COL,,8,,,,0.5 (-235),0.5 (+180),0.95,0.89,-6.97%,UNDER
Bet365,Jul 3,10:10 PM,Hits,Dominic Canzone,SEA,KC@SEA,,7,,,,0.5 (-161),0.5 (+130),0.8,0.74,-6.74%,UNDER
Hard Rock,Jul 3,12:10 PM,Hits,Byron Buxton,MIN,MIN@MIA,,1,,,,0.5 (-275),0.5 (+200),1,0.94,-6.72%,UNDER
BetBuilder,Jul 3,3:10 PM,Hits,Cooper Hummel,HOU,HOU@COL,,8,,,,0.5 (-238),0.5 (+179),0.95,0.89,-6.71%,UNDER
BetBuilder,Jul 3,9:40 PM,Hits,Randal Grichuk,ARI,SF@ARI,,6,,,,0.5 (-196),0.5 (+148),0.86,0.8,-6.70%,UNDER
BetMGM,Jul 3,10:10 PM,Hits,Ryan Noda,CWS,CWS@LAD,,9,,,,0.5 (+105),0.5 (-140),0.53,0.49,-6.60%,UNDER
Bet365,Jul 3,8:05 PM,Hits,Seiya Suzuki,CHC,CLE@CHC,,3,,,,0.5 (-227),0.5 (+175),0.94,0.88,-6.53%,UNDER
Fliff,Jul 3,8:05 PM,Hits,Seiya Suzuki,CHC,CLE@CHC,,3,,,,0.5 (-265),0.5 (+175),0.94,0.88,-6.53%,UNDER
BetMGM,Jul 3,7:07 PM,Hits,Anthony Volpe,NYY,NYY@TOR,,8,,,,0.5 (-185),0.5 (+140),0.83,0.78,-6.15%,UNDER
Hard Rock,Jul 3,7:07 PM,Hits,Anthony Volpe,NYY,NYY@TOR,,8,,,,0.5 (-185),0.5 (+140),0.83,0.78,-6.15%,UNDER
Bovada,Jul 3,7:07 PM,Hits,Anthony Volpe,NYY,NYY@TOR,,8,,,,0.5 (-185),0.5 (+140),0.83,0.78,-6.15%,UNDER
DraftKings,Jul 3,6:45 PM,Hits,Dillon Dingler,DET,DET@WSH,,9,,,,0.5 (-235),0.5 (+170),0.92,0.87,-6.03%,UNDER
Bet365,Jul 3,8:05 PM,Hits,Dansby Swanson,CHC,CLE@CHC,,4,,,,0.5 (-200),0.5 (+160),0.9,0.84,-5.91%,UNDER
Fliff,Jul 3,8:05 PM,Hits,Dansby Swanson,CHC,CLE@CHC,,4,,,,0.5 (-235),0.5 (+160),0.9,0.84,-5.91%,UNDER
Bet365,Jul 3,7:07 PM,Hits,George Springer,TOR,NYY@TOR,,5,,,,0.5 (-233),0.5 (+180),0.95,0.9,-5.90%,UNDER
DraftKings,Jul 3,7:07 PM,Hits,George Springer,TOR,NYY@TOR,,5,,,,0.5 (-250),0.5 (+180),0.95,0.9,-5.90%,UNDER
Bovada,Jul 3,9:40 PM,Hits,Eugenio Suarez,ARI,SF@ARI,,4,,,,0.5 (-190),0.5 (+145),0.85,0.8,-5.74%,UNDER
Hard Rock,Jul 3,9:40 PM,Hits,Eugenio Suarez,ARI,SF@ARI,,4,,,,0.5 (-190),0.5 (+145),0.85,0.8,-5.74%,UNDER
Hard Rock,Jul 3,3:10 PM,Hits,Cooper Hummel,HOU,HOU@COL,,8,,,,0.5 (-240),0.5 (+175),0.94,0.89,-5.62%,UNDER
Fliff,Jul 3,3:10 PM,Hits,Cooper Hummel,HOU,HOU@COL,,8,,,,0.5 (-265),0.5 (+175),0.94,0.89,-5.62%,UNDER
Fanatics,Jul 3,9:40 PM,Hits,Randal Grichuk,ARI,SF@ARI,,6,,,,0.5 (-190),0.5 (+145),0.85,0.8,-5.61%,UNDER
ESPN BET,Jul 3,9:40 PM,Hits,Randal Grichuk,ARI,SF@ARI,,6,,,,0.5 (-215),0.5 (+145),0.85,0.8,-5.61%,UNDER
BetMGM,Jul 3,6:45 PM,Hits,Paul DeJong,WSH,DET@WSH,,7,,,,0.5 (-135),0.5 (+105),0.71,0.67,-5.57%,UNDER
BetBuilder,Jul 3,6:45 PM,Hits,Paul DeJong,WSH,DET@WSH,,7,,,,0.5 (-135),0.5 (+105),0.71,0.67,-5.57%,UNDER
DraftKings,Jul 3,6:45 PM,Hits,Paul DeJong,WSH,DET@WSH,,7,,,,0.5 (-140),0.5 (+105),0.71,0.67,-5.57%,UNDER
Bet365,Jul 3,7:10 PM,Hits,Luis Torrens,NYM,MIL@NYM,,8,,,,0.5 (-172),0.5 (+140),0.83,0.79,-5.46%,UNDER
BetBuilder,Jul 3,7:10 PM,Hits,Luis Torrens,NYM,MIL@NYM,,8,,,,0.5 (-185),0.5 (+140),0.83,0.79,-5.46%,UNDER
DraftKings,Jul 3,7:10 PM,Hits,Luis Torrens,NYM,MIL@NYM,,8,,,,0.5 (-190),0.5 (+140),0.83,0.79,-5.46%,UNDER
Bet365,Jul 3,10:10 PM,Hits,Jorge Polanco,SEA,KC@SEA,,4,,,,0.5 (-182),0.5 (+145),0.85,0.8,-5.42%,UNDER
Bovada,Jul 3,10:10 PM,Hits,Cal Raleigh,SEA,KC@SEA,,3,,,,0.5 (-210),0.5 (+155),0.88,0.83,-5.38%,UNDER
BetMGM,Jul 3,8:05 PM,Hits,Seiya Suzuki,CHC,CLE@CHC,,3,,,,0.5 (-225),0.5 (+170),0.92,0.88,-5.11%,UNDER
Hard Rock,Jul 3,8:05 PM,Hits,Seiya Suzuki,CHC,CLE@CHC,,3,,,,0.5 (-230),0.5 (+170),0.92,0.88,-5.11%,UNDER
Bovada,Jul 3,8:05 PM,Hits,Seiya Suzuki,CHC,CLE@CHC,,3,,,,0.5 (-230),0.5 (+170),0.92,0.88,-5.11%,UNDER
DraftKings,Jul 3,8:05 PM,Hits,Seiya Suzuki,CHC,CLE@CHC,,3,,,,0.5 (-230),0.5 (+170),0.92,0.88,-5.11%,UNDER
Bet365,Jul 3,10:10 PM,Hits,Ben Williamson,SEA,KC@SEA,,8,,,,0.5 (-152),0.5 (+120),0.76,0.72,-5.06%,UNDER
Bovada,Jul 3,10:10 PM,Hits,Ben Williamson,SEA,KC@SEA,,8,,,,0.5 (-160),0.5 (+120),0.76,0.72,-5.06%,UNDER
Fliff,Jul 3,10:10 PM,Hits,Ben Williamson,SEA,KC@SEA,,8,,,,0.5 (-175),0.5 (+120),0.76,0.72,-5.06%,UNDER
Fliff,Jul 3,8:05 PM,Hits,Matt Shaw,CHC,CLE@CHC,,9,,,,0.5 (-180),0.5 (+120),0.76,0.72,-4.90%,UNDER
Bet365,Jul 3,7:07 PM,Hits,Ernie Clement,TOR,NYY@TOR,,7,,,,0.5 (-233),0.5 (+180),0.95,0.91,-4.75%,UNDER
DraftKings,Jul 3,7:07 PM,Hits,Ernie Clement,TOR,NYY@TOR,,7,,,,0.5 (-245),0.5 (+180),0.95,0.91,-4.75%,UNDER
BetMGM,Jul 3,10:10 PM,Hits,Dominic Canzone,SEA,KC@SEA,,7,,,,0.5 (-165),0.5 (+125),0.78,0.74,-4.61%,UNDER
Bovada,Jul 3,10:10 PM,Hits,Dominic Canzone,SEA,KC@SEA,,7,,,,0.5 (-165),0.5 (+125),0.78,0.74,-4.61%,UNDER
Hard Rock,Jul 3,10:10 PM,Hits,Dominic Canzone,SEA,KC@SEA,,7,,,,0.5 (-165),0.5 (+125),0.78,0.74,-4.61%,UNDER
DraftKings,Jul 3,10:10 PM,Hits,Dominic Canzone,SEA,KC@SEA,,7,,,,0.5 (-170),0.5 (+125),0.78,0.74,-4.61%,UNDER
BetBuilder,Jul 3,7:07 PM,Hits,George Springer,TOR,NYY@TOR,,5,,,,0.5 (-233),0.5 (+175),0.94,0.9,-4.54%,UNDER
BetMGM,Jul 3,7:07 PM,Hits,George Springer,TOR,NYY@TOR,,5,,,,0.5 (-235),0.5 (+175),0.94,0.9,-4.54%,UNDER
Hard Rock,Jul 3,7:07 PM,Hits,George Springer,TOR,NYY@TOR,,5,,,,0.5 (-240),0.5 (+175),0.94,0.9,-4.54%,UNDER
Bovada,Jul 3,7:07 PM,Hits,George Springer,TOR,NYY@TOR,,5,,,,0.5 (-240),0.5 (+175),0.94,0.9,-4.54%,UNDER
Bet365,Jul 3,6:45 PM,Hits,Dillon Dingler,DET,DET@WSH,,9,,,,0.5 (-213),0.5 (+165),0.91,0.87,-4.53%,UNDER
BetMGM,Jul 3,8:05 PM,Hits,Dansby Swanson,CHC,CLE@CHC,,4,,,,0.5 (-200),0.5 (+155),0.88,0.84,-4.24%,UNDER
Fanatics,Jul 3,3:10 PM,Hits,Cooper Hummel,HOU,HOU@COL,,8,,,,0.5 (-230),0.5 (+170),0.92,0.89,-4.20%,UNDER
BetBuilder,Jul 3,7:07 PM,Hits,Anthony Volpe,NYY,NYY@TOR,,8,,,,0.5 (-175),0.5 (+135),0.81,0.78,-4.17%,UNDER
Bet365,Jul 3,12:10 PM,Hits,Kyle Stowers,MIA,MIN@MIA,,5,,,,0.5 (-172),0.5 (+140),0.83,0.8,-3.83%,UNDER
BetBuilder,Jul 3,6:45 PM,Hits,Dillon Dingler,DET,DET@WSH,,9,,,,0.5 (-213),0.5 (+162),0.9,0.87,-3.57%,UNDER
BetBuilder,Jul 3,12:10 PM,Hits,Liam Hicks,MIA,MIN@MIA,,7,,,,0.5 (-161),0.5 (+123),0.77,0.74,-3.39%,UNDER
Bet365,Jul 3,8:05 PM,Hits,Angel Martinez,CLE,CLE@CHC,,8,,,,0.5 (-192),0.5 (+155),0.88,0.85,-3.21%,UNDER
Fliff,Jul 3,12:10 PM,Hits,Byron Buxton,MIN,MIN@MIA,,1,,,,0.5 (-275),0.5 (+185),0.97,0.94,-3.16%,UNDER
BetMGM,Jul 3,6:45 PM,Hits,Dillon Dingler,DET,DET@WSH,,9,,,,0.5 (-210),0.5 (+160),0.9,0.87,-2.93%,UNDER
BetMGM,Jul 3,10:10 PM,Hits,Ben Williamson,SEA,KC@SEA,,8,,,,0.5 (-155),0.5 (+115),0.74,0.72,-2.87%,UNDER
Bovada,Jul 3,6:45 PM,Hits,Paul DeJong,WSH,DET@WSH,,7,,,,0.5 (-130),0.5 (-100),0.69,0.67,-2.85%,UNDER
Bet365,Jul 3,6:45 PM,Hits,Paul DeJong,WSH,DET@WSH,,7,,,,0.5 (-132),0.5 (+100),0.69,0.67,-2.85%,UNDER
Hard Rock,Jul 3,6:45 PM,Hits,Paul DeJong,WSH,DET@WSH,,7,,,,0.5 (-135),0.5 (+100),0.69,0.67,-2.85%,UNDER
ESPN BET,Jul 3,3:10 PM,Hits,Cooper Hummel,HOU,HOU@COL,,8,,,,0.5 (-240),0.5 (+165),0.91,0.89,-2.66%,UNDER
Bet365,Jul 3,8:05 PM,Hits,Kyle Manzardo,CLE,CLE@CHC,,2,,,,0.5 (-185),0.5 (+150),0.86,0.84,-2.64%,UNDER
BetBuilder,Jul 3,8:05 PM,Hits,Seiya Suzuki,CHC,CLE@CHC,,3,,,,0.5 (-213),0.5 (+162),0.9,0.88,-2.63%,UNDER
Bet365,Jul 3,6:45 PM,Hits,Riley Adams,WSH,DET@WSH,,8,,,,0.5 (-141),0.5 (+110),0.72,0.71,-2.53%,UNDER
Hard Rock,Jul 3,6:45 PM,Hits,Riley Adams,WSH,DET@WSH,,8,,,,0.5 (-145),0.5 (+110),0.72,0.71,-2.53%,UNDER
DraftKings,Jul 3,6:45 PM,Hits,Riley Adams,WSH,DET@WSH,,8,,,,0.5 (-150),0.5 (+110),0.72,0.71,-2.53%,UNDER
BetBuilder,Jul 3,8:05 PM,Hits,Dansby Swanson,CHC,CLE@CHC,,4,,,,0.5 (-196),0.5 (+149),0.86,0.84,-2.09%,UNDER
Fanatics,Jul 3,8:05 PM,Hits,Seiya Suzuki,CHC,CLE@CHC,,3,,,,0.5 (-215),0.5 (+160),0.9,0.88,-1.98%,UNDER
Bovada,Jul 3,6:45 PM,Hits,Jacob Young,WSH,DET@WSH,,9,,,,0.5 (-185),0.5 (+140),0.83,0.81,-1.90%,UNDER
Fliff,Jul 3,12:10 PM,Hits,Liam Hicks,MIA,MIN@MIA,,7,,,,0.5 (-170),0.5 (+120),0.76,0.74,-1.88%,UNDER
ESPN BET,Jul 3,12:10 PM,Hits,Byron Buxton,MIN,MIN@MIA,,1,,,,0.5 (-260),0.5 (+180),0.95,0.94,-1.83%,UNDER
Fliff,Jul 3,10:10 PM,Hits,Cal Raleigh,SEA,KC@SEA,,3,,,,0.5 (-215),0.5 (+145),0.85,0.83,-1.75%,UNDER
DraftKings,Jul 3,10:10 PM,Hits,Luke Raley,SEA,KC@SEA,,6,,,,0.5 (-155),0.5 (+115),0.74,0.73,-1.48%,UNDER
Bovada,Jul 3,8:05 PM,Hits,Angel Martinez,CLE,CLE@CHC,,8,,,,0.5 (-200),0.5 (+150),0.86,0.85,-1.41%,UNDER
BetMGM,Jul 3,8:05 PM,Hits,Angel Martinez,CLE,CLE@CHC,,8,,,,0.5 (-200),0.5 (+150),0.86,0.85,-1.41%,UNDER
Bet365,Jul 3,12:10 PM,Hits,Royce Lewis,MIN,MIN@MIA,,7,,,,0.5 (-172),0.5 (+140),0.83,0.82,-1.25%,UNDER
Bet365,Jul 3,9:40 PM,Hits,Mike Yastrzemski,SF,SF@ARI,,1,,,,0.5 (-250),0.5 (+195),0.99,0.98,-1.07%,UNDER
BetBuilder,Jul 3,10:10 PM,Hits,Cal Raleigh,SEA,KC@SEA,,3,,,,0.5 (-189),0.5 (+143),0.84,0.83,-0.96%,UNDER
BetMGM,Jul 3,10:10 PM,Hits,Tommy Edman,LAD,CWS@LAD,,8,,,,0.5 (-210),0.5 (+160),0.9,0.89,-0.83%,UNDER
Hard Rock,Jul 3,10:10 PM,Hits,Tommy Edman,LAD,CWS@LAD,,8,,,,0.5 (-210),0.5 (+160),0.9,0.89,-0.83%,UNDER
Bovada,Jul 3,10:10 PM,Hits,Tommy Edman,LAD,CWS@LAD,,8,,,,0.5 (-215),0.5 (+160),0.9,0.89,-0.83%,UNDER
DraftKings,Jul 3,7:10 PM,Hits,Pete Alonso,NYM,MIL@NYM,,4,,,,0.5 (-230),0.5 (+165),0.91,0.9,-0.76%,UNDER
Bovada,Jul 3,8:05 PM,Hits,Kyle Manzardo,CLE,CLE@CHC,,2,,,,0.5 (-190),0.5 (+145),0.85,0.84,-0.74%,UNDER
Bovada,Jul 3,8:05 PM,Hits,Jose Ramirez,CLE,CLE@CHC,,3,,,,0.5 (-280),0.5 (+205),1.01,1.01,-0.44%,UNDER
DraftKings,Jul 3,6:45 PM,Hits,Spencer Torkelson,DET,DET@WSH,,5,,,,0.5 (-265),0.5 (+190),0.98,0.98,-0.19%,UNDER
Bet365,Jul 3,6:45 PM,Hits,Parker Meadows,DET,DET@WSH,,8,,,,0.5 (-156),0.5 (+125),0.88,0.88,0.01%,OVER
FanDuel,Jul 3,7:10 PM,Hits,Christian Yelich,MIL,MIL@NYM,,3,,,,0.5 (-180),,0.95,0.95,0.03%,OVER
Hard Rock,Jul 3,7:10 PM,Hits,Christian Yelich,MIL,MIL@NYM,,3,,,,0.5 (-180),0.5 (+135),0.95,0.95,0.03%,OVER
Fliff,Jul 3,10:10 PM,Hits,Shohei Ohtani,LAD,CWS@LAD,,1,,,,0.5 (-270),0.5 (+180),1.17,1.17,0.19%,OVER
Bovada,Jul 3,6:45 PM,Hits,CJ Abrams,WSH,DET@WSH,,1,,,,0.5 (-240),0.5 (+175),1.09,1.09,0.21%,OVER
Hard Rock,Jul 3,6:45 PM,Hits,CJ Abrams,WSH,DET@WSH,,1,,,,0.5 (-240),0.5 (+175),1.09,1.09,0.21%,OVER
FanDuel,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-240),,1.09,1.1,0.28%,OVER
Fanatics,Jul 3,6:45 PM,Hits,Parker Meadows,DET,DET@WSH,,8,,,,0.5 (-155),0.5 (+120),0.88,0.88,0.36%,OVER
BetBuilder,Jul 3,3:10 PM,Hits,Brenton Doyle,COL,HOU@COL,,6,,,,0.5 (-270),0.5 (+197),1.17,1.17,0.48%,OVER
Bet365,Jul 3,3:10 PM,Hits,Brenton Doyle,COL,HOU@COL,,6,,,,0.5 (-270),0.5 (+210),1.17,1.17,0.48%,OVER
PrizePicks,Jul 3,7:07 PM,Hits,Will Wagner,TOR,NYY@TOR,,9,,,,0.5 (-137),0.5 (-137),0.82,0.82,0.55%,OVER
BetMGM,Jul 3,7:07 PM,Hits,Ben Rice,NYY,NYY@TOR,,1,,,,0.5 (-185),0.5 (+135),0.97,0.97,0.59%,OVER
BetBuilder,Jul 3,6:45 PM,Hits,Parker Meadows,DET,DET@WSH,,8,,,,0.5 (-154),0.5 (+119),0.88,0.88,0.73%,OVER
FanDuel,Jul 3,7:15 PM,Hits,Zach Neto,LAA,LAA@ATL,,1,,,,0.5 (-260),,1.14,1.15,0.74%,OVER
Bet365,Jul 3,7:07 PM,Hits,Aaron Judge,NYY,NYY@TOR,,2,,,,0.5 (-227),0.5 (+175),1.06,1.07,0.79%,OVER
DraftKings,Jul 3,7:10 PM,Hits,Juan Soto,NYM,MIL@NYM,,3,,,,0.5 (-195),0.5 (+145),0.99,1,0.89%,OVER
Fanatics,Jul 3,7:07 PM,Hits,Nathan Lukes,TOR,NYY@TOR,,6,,,,0.5 (-165),0.5 (+125),0.91,0.92,0.98%,OVER
BallyBet,Jul 3,6:45 PM,Hits,Nate Lowe,WSH,DET@WSH,,4,,,,0.5 (-190),,0.98,0.99,1.02%,OVER
ESPN BET,Jul 3,10:10 PM,Hits,Bobby Witt Jr.,KC,KC@SEA,,2,,,,0.5 (-260),0.5 (+180),1.14,1.15,1.03%,OVER
Hard Rock,Jul 3,10:10 PM,Hits,Miguel Vargas,CWS,CWS@LAD,,4,,,,0.5 (-180),0.5 (+135),0.95,0.96,1.17%,OVER
Fliff,Jul 3,10:10 PM,Hits,Miguel Vargas,CWS,CWS@LAD,,4,,,,0.5 (-180),0.5 (+125),0.95,0.96,1.17%,OVER
BetMGM,Jul 3,7:07 PM,Hits,Aaron Judge,NYY,NYY@TOR,,2,,,,0.5 (-225),0.5 (+175),1.06,1.07,1.21%,OVER
DraftKings,Jul 3,6:45 PM,Hits,CJ Abrams,WSH,DET@WSH,,1,,,,0.5 (-235),0.5 (+175),1.08,1.09,1.23%,OVER
BetMGM,Jul 3,3:10 PM,Hits,Ryan McMahon,COL,HOU@COL,,5,,,,0.5 (-190),0.5 (+140),0.98,0.99,1.29%,OVER
BallyBet,Jul 3,10:10 PM,Hits,Mike Tauchman,CWS,CWS@LAD,,1,,,,0.5 (-165),,0.91,0.92,1.37%,OVER
Bet365,Jul 3,7:10 PM,Hits,Sal Frelick,MIL,MIL@NYM,,1,,,,0.5 (-200),0.5 (+160),1,1.02,1.47%,OVER
DraftKings,Jul 3,7:10 PM,Hits,Christian Yelich,MIL,MIL@NYM,,3,,,,0.5 (-175),0.5 (+130),0.94,0.95,1.48%,OVER
BetBuilder,Jul 3,7:10 PM,Hits,Christian Yelich,MIL,MIL@NYM,,3,,,,0.5 (-175),0.5 (+135),0.94,0.95,1.48%,OVER
FanDuel,Jul 3,7:10 PM,Hits,Mark Vientos,NYM,MIL@NYM,,2,,,,0.5 (-165),,0.91,0.92,1.57%,OVER
Bet365,Jul 3,6:45 PM,Hits,CJ Abrams,WSH,DET@WSH,,1,,,,0.5 (-233),0.5 (+180),1.08,1.09,1.65%,OVER
BetRivers,Jul 3,7:15 PM,Hits,Jorge Soler,LAA,LAA@ATL,,6,,,,0.5 (-159),,0.89,0.91,1.67%,OVER
BallyBet,Jul 3,7:15 PM,Hits,Jorge Soler,LAA,LAA@ATL,,6,,,,0.5 (-159),,0.89,0.91,1.67%,OVER
BetBuilder,Jul 3,7:10 PM,Hits,Juan Soto,NYM,MIL@NYM,,3,,,,0.5 (-192),0.5 (+147),0.98,1,1.79%,OVER
BetBuilder,Jul 3,10:10 PM,Hits,Teoscar Hernandez,LAD,CWS@LAD,,5,,,,0.5 (-233),0.5 (+176),1.08,1.1,1.84%,OVER
