player_name,Strokes Prediction,final_prediction
"Tarren, Callum",71.562,-1.002
"Green, Gavin",71.587,-1.027
"Forsstrom, Simon",71.627,-1.067
"Schott, Freddy",71.639,-1.079
"Dantorp, Jens",71.656,-1.096
"Sharma, Shubhankar",71.669,-1.109
"Hebert, Benjamin",71.68,-1.12
"Bryant, Davis",71.691,-1.131
"Aiken, Thomas",71.694,-1.134
"De Leo, Gregorio",71.72,-1.16
"Gumberg, Jordan",71.722,-1.162
"Micheluzzi, David",71.726,-1.166
"Senior, Jack",71.757,-1.197
"Kim, Minkyu",71.824,-1.264
"Lagergren, Joakim",71.848,-1.288
"Sordet, Clement",71.877,-1.317
"Pulkkanen, Tapio",71.889,-1.329
"Girrbach, Joel",71.895,-1.335
"Colsaerts, Nicolas",71.899,-1.339
"Besseling, Wil",71.903,-1.343
"Johnston, Ryggs",71.916,-1.356
"Boneta, Albert",71.935,-1.375
"Cabrera Bello, Rafa",71.984,-1.424
"Van Meijel, Lars",71.995,-1.435
"Baldwin, Matthew",71.998,-1.438
"Ahlawat, Veer",72,-1.44
"Kleen, Algot",72.029,-1.469
"Germishuys, Deon",72.037,-1.477
"Van Velzen, Ryan",72.083,-1.523
"De Bruyn, Jannik",72.085,-1.525
"Moscatel, Joel",72.092,-1.532
"Erickson, Dan",72.135,-1.575
"Lindberg, Mikael",72.147,-1.587
"Brown, Hamish",72.149,-1.589
"Ko, Jeong Weon",72.19,-1.63
"Gale, Daniel",72.228,-1.668
"Jin, Zihao",72.241,-1.681
"Naidoo, Dylan",72.253,-1.693
"Whitnell, Dale",72.27,-1.71
"Huizing, Daan",72.283,-1.723
"Garcia-Heredia, Alfredo",72.283,-1.723
"Sterne, Richard",72.35,-1.79
"Bjerregaard, Lucas",72.371,-1.811
"Shaun, Corey",72.376,-1.816
"Fisher, Ross",72.378,-1.818
"Tetak, TadeÃ¡Å¡",72.43,-1.87
"Akesson, Bjorn",72.51,-1.95
"Lombard, Zander",72.514,-1.954
"Van Der Vight, Lars",72.525,-1.965
"Harding, Justin",72.544,-1.984
"Brun, Julien",72.607,-2.047
"Frances, Alexander George",72.63,-2.07
"List, Danny",72.63,-2.07
"Pineau, Pierre",72.653,-2.093
"Walker, Jimmy",72.674,-2.114
"Bekirian, Jean",72.683,-2.123
"Wood, Chris",72.72,-2.16
"Van Veen, Vince",72.736,-2.176
"Follet-Smith, Benjamin",72.753,-2.193
"Amat, Bastien",72.754,-2.194
"Donaldson, Jamie",72.883,-2.323
"Knappe, Alexander",72.9,-2.34
"Schwab, Matthias",72.911,-2.351
"Strydom, Ockie",73.068,-2.508
"De Vries, Wouter",73.22,-2.66
"Reuter, Benjamin",73.533,-2.973
"Fdez-Castano, Gonzalo",73.689,-3.129
"Trainer, Martin",73.788,-3.228
"Porsius, Davey",74.118,-3.558
"Woltering, Scott",74.147,-3.587
"Ruiter, Nevill",74.312,-3.752
"Driessen, Bjorn",74.751,-4.191
"Lafeber, Guus",74.777,-4.217
"Verdonk, Aydan",74.925,-4.365
"Kouwenaar, Koen",75.022,-4.462
