player_name,dg_id,dg_pred,my_pred,import_advice
yuto katsuragawa,20448,-0.701,null,
ugo coussaud,20727,-0.708,null,
niklas lemke,10418,-0.71,null,
jeff winther,15680,-0.719,null,
manuel elvira,26008,-0.742,null,
kazuma kobori,24369,-0.755,null,
tom vaillant,28157,-0.759,null,
ignacio elvira mijares,12988,-0.766,null,
freddy schott,27588,-0.775,null,
gavin green,12530,-0.779,null,
grant forrest,16475,-0.788,null,
andreas halvorsen,17747,-0.8,null,
pablo larrazabal,9133,-0.806,null,
richie ramsay,11396,-0.807,null,
martin kaymer,8117,-0.807,null,
guido migliozzi,17357,-0.827,null,
jason scrivener,12734,-0.837,null,
scott jamieson,11397,-0.864,null,
angel hidalgo,24127,-0.878,null,
wesley bryan,21236,-0.88,null,
joe dean,16497,-0.899,null,
joakim lagergren,14780,-0.926,null,
clement sordet,17718,-0.931,null,
rafa cabrera bello,7457,-0.933,null,
matthew southgate,15191,-0.963,null,
adrian otaegui,14975,-0.984,null,
andrew wilson,25588,-0.986,null,
taiga semikawa,19681,-0.987,null,
robin williams,24093,-0.992,null,
jack senior,15115,-1.028,null,
jose luis ballester,28473,-1.062,null,
davis bryant,32550,-1.072,null,
casey jarvis,26947,-1.073,null,
conor purcell,25963,-1.077,null,
minkyu kim,20780,-1.085,null,
simon forsstrom,19806,-1.085,null,
ben schmidt,27258,-1.086,null,
darren fichardt,5754,-1.102,null,
elvis smylie,24200,-1.119,null,
benjamin hebert,12213,-1.129,null,
hamish brown,22168,-1.179,null,
david micheluzzi,19224,-1.196,null,
tapio pulkkanen,13139,-1.2,null,
nicolas colsaerts,6893,-1.205,null,
troy merritt,13367,-1.225,null,
ashun wu,11763,-1.227,null,
joel girrbach,15592,-1.253,null,
jannik de bruyn,23112,-1.286,null,
mikael lindberg,20084,-1.313,null,
gregorio de leo,26506,-1.318,null,
jordan gumberg,23892,-1.342,null,
david horsey,11230,-1.346,null,
brandon wu,25213,-1.358,null,
alexander levy,14973,-1.37,null,
zander lombard,16897,-1.391,null,
lucas bjerregaard,11619,-1.434,null,
jacopo vecchi fossa,17362,-1.517,null,
dale whitnell,13821,-1.539,null,
richard sterne,7049,-1.551,null,
ryggs johnston,32449,-1.56,null,
kevin chappell,13305,-1.597,null,
thomas aiken,7679,-1.61,null,
daniel gale,19212,-1.62,null,
veer ahlawat,22897,-1.641,null,
dylan naidoo,19429,-1.679,null,
ross fisher,9396,-1.7,null,
alfredo garcia-heredia,7887,-1.703,null,
hurly long,25138,-1.708,null,
ryan van velzen,27960,-1.729,null,
matthew baldwin,13344,-1.73,null,
deon germishuys,25888,-1.764,null,
dan erickson,29520,-1.766,null,
tadeáš tetak,27808,-1.768,null,
shubhankar sharma,17081,-1.81,null,
tiger christensen,31123,-1.841,null,
jeong weon ko,26213,-1.849,null,
zihao jin,31187,-1.865,null,
wolfgang glawe,28181,-1.889,null,
alexander george frances,25183,-1.988,null,
bjorn akesson,11530,-2.031,null,
joel moscatel,27815,-2.034,null,
luke donald,4163,-2.092,null,
corey shaun,24599,-2.101,null,
matthias schwab,15016,-2.117,null,
tim wiedemeyer,29973,-2.198,null,
pierre pineau,20900,-2.215,null,
michael hirmer,20713,-2.6,null,
ockie strydom,13731,-2.741,null,
george bryan,23054,-3.383,null,
nicolas horder,28723,-4.004,null,
martin trainer,15634,-4.417,null,
erik barnes,14799,-5.16,null,
