player_name,dg_id,dg_pred,my_pred,import_advice
kaito onishi,25263,-1.079,null,
fabian gomez,8571,-1.089,null,
gavin green,12530,-1.09,null,
peter malnati,14926,-1.108,null,
conor purcell,25963,-1.113,null,
cristobal del solar,17422,-1.134,null,
brandon wu,25213,-1.139,null,
robin williams,24093,-1.142,null,
rafael campos,12909,-1.156,null,
bronson burgoon,11082,-1.164,null,
troy merritt,13367,-1.172,null,
andrew wilson,25588,-1.201,null,
callum tarren,20519,-1.288,null,
chez reavie,7961,-1.3,null,
anders albertson,21235,-1.304,null,
braden thornberry,23502,-1.308,null,
joel girrbach,15592,-1.315,null,
hamish brown,22168,-1.316,null,
carl yuan,17266,-1.348,null,
will chandler,31212,-1.386,null,
marcus byrd,29304,-1.396,null,
james hahn,11374,-1.4,null,
kevin chappell,13305,-1.41,null,
mason andersen,23540,-1.412,null,
mj daffue,17068,-1.422,null,
alexander levy,14973,-1.465,null,
frankie capan iii,21412,-1.498,null,
mikael lindberg,20084,-1.508,null,
jannik de bruyn,23112,-1.527,null,
jonathan byrd,6931,-1.549,null,
kevin kisner,11328,-1.552,null,
thomas aiken,7679,-1.569,null,
richard sterne,7049,-1.61,null,
brendon doyle,26508,-1.65,null,
shubhankar sharma,17081,-1.697,null,
jeong weon ko,26213,-1.719,null,
nick watney,7955,-1.78,null,
aaron baddeley,6252,-1.842,null,
alfredo garcia-heredia,7887,-1.866,null,
zihao jin,31187,-1.866,null,
austin cook,18579,-1.962,null,
gordon sargent,30814,-1.984,null,
joel moscatel,27815,-1.99,null,
tommy gainey,12169,-2.021,null,
matthew baldwin,13344,-2.04,null,
matthias schwab,15016,-2.113,null,
sean o'hair,7626,-2.163,null,
bjorn akesson,11530,-2.18,null,
ryan brehm,10423,-2.237,null,
julien brun,16363,-2.238,null,
bill haas,7900,-2.279,null,
brian stuard,13022,-2.292,null,
jason dufner,7301,-2.315,null,
cooper musselman,25318,-2.362,null,
alexander knappe,12318,-2.411,null,
george mcneill,6419,-2.422,null,
cody gribble,17508,-2.428,null,
drew doyle,33101,-2.509,null,
j.b. holmes,7959,-2.66,null,
stephen stallings jr.,25335,-3,null,
jim herman,12846,-3.016,null,
daniel iceman,22255,-3.017,null,
jeff overton,10498,-3.396,null,
carson johnson,10068982,-4.09,null,
martin trainer,15634,-4.444,null,
erik barnes,14799,-4.689,null,
michael balcar,24483,-5.362,null,
